Subzone,Population_Density,Latitude,Longitude
Pasir Panjang 2,3583.1382,1.28086725,103.78722032263292
Port,18.6756,1.3521108499999999,103.98701251855138
Queensway,427.6889,1.3104965,103.8036403
Singapore Polytechnic,106.1684,1.30913695,103.77814365807117
Tanglin Halt,20091.0643,1.2999069,103.79810867117243
Institution Hill,8023.4335,1.2958533,103.8400763
Leonie Hill,8466.7571,1.2986613,103.8315458
One Tree Hill,6075.7264,1.30187,103.8274901
Oxley,7450.0,1.2962681,103.84082700566427
Paterson,1386.4818,1.30030955,103.83061642302155
Bencoolen,7674.2824,1.2986084500000001,103.85012699630914
Farrer Park,10717.1636,1.31259105,103.8542288478267
Kampong Glam,700.5254,1.30128,103.8599267
Little India,11749.9102,1.30684265,103.84927355170905
Mackenzie,1974.8654,1.30494005,103.84884715227221
Mount Emily,8402.0619,1.4525798,103.769116
Selegie,4233.871,1.3027586,103.8502417
Sungei Road,17626.8272,1.3039417,103.8531426
Victoria,8212.7858,1.29616795,103.85004365998248
Seletar,75.5165,1.4098488,103.8773789
Seletar Aerospace Park,5.706,1.4087181,103.8682223
Admiralty,11023.1232,1.4406369,103.8009592
Sembawang Central,36159.601,1.4490928,103.8200555
Sembawang East,22857.8961,1.4490928,103.8200555
Sembawang North,18302.9956,1.4490928,103.8200555
Sembawang Springs,8283.2149,1.4405369,103.82607667170109
Sembawang Straits,1474.1067,1.458458,103.83740461856749
Senoko North,4.5029,1.4602965,103.8052452
Senoko South,17.2216,1.4602965,103.8052452
Anchorvale,32174.3782,1.3912708,103.88507122419571
Compassvale,19187.1109,1.394518,103.9004349
Fernvale,24659.2577,1.3904635,103.8770826
Rivervale,37957.7823,1.3806234499999999,103.8984008073542
Sengkang Town Centre,42417.7936,1.3919236499999998,103.89549093760694
Sengkang West,5.9801,1.3919236499999998,103.89549093760694
Lorong Chuan,6948.7641,1.35156575,103.86386218385945
Seletar Hills,6306.8474,1.3854637,103.8656683
Serangoon Central,23677.9191,1.3535142,103.8716163518423
Serangoon Garden,11933.9794,1.3624579,103.8660127
Serangoon North,22419.128,1.3713383,103.8727563
Serangoon North Ind Estate,11.1595,,
Upper Paya Lebar,19374.7853,1.3611088,103.9254612
Boat Quay,809.9688,1.2887213,103.8492752
Clarke Quay,447.9669,1.2882413000000001,103.84643040165233
Robertson Quay,5941.5713,1.2917517,103.8413036
Sentosa,411.7148,1.24894585,103.83430564159272
Gali Batu,5.7418,1.3965351,103.774025
Kranji,3.5935,1.4252189,103.7619891
Pang Sua,9.1933,1.3818690999999999,103.76583028326877
Reservoir View,7.9523,1.3375104,103.92895450002683
Turf Club,203.5979,29.5894155,-98.3285726
Simei,14197.7975,1.3431881,103.953371
Tampines East,30260.6044,1.35603565,103.95513541144504
Tampines North,3141.7295,1.3690124,103.93809295626107
Tampines West,22966.2727,1.3458660999999998,103.93846350820903
Xilin,227.0206,1.3286407,103.96441665942385
Chatsworth,5107.1084,1.3451479499999999,103.79185617216838
Nassim,4603.259,1.30659285,103.82299205452577
Ridout,751.8797,1.3048022,103.803534
Tyersall,1774.9314,1.3069034,103.8148198
Tengah,1.351,1.3624531,103.72504010422139
Boon Teck,35029.8686,1.32778935,103.8502130374628
Braddell,22417.7331,1.3400707,103.84675837096586
Joo Seng,7897.2868,1.3355302,103.8833207
Kim Keat,21490.2808,1.3294271,103.8532782
Lorong 8 Toa Payoh,16291.24,1.339703,103.8587822
Pei Chun,25163.9543,1.3370857,103.85567994909927
Potong Pasir,18318.2244,1.3314141,103.8691380822365
Sennett,8014.7141,1.33198165,103.87447915981068
Toa Payoh Central,25348.2902,1.3326741,103.85052221136597
Toa Payoh West,13899.9129,1.3353187,103.8424925
Woodleigh,3002.0831,1.3391943,103.87082151823131
Tuas Bay,3.1403,1.3293722,103.6482364
Tuas North,9.2013,1.3293722,103.6482364
Tuas Promenade,3.1707,,
Tuas View,1.9025,1.3293722,103.6482364
Tuas View Extension,0.7735,,
Jurong Island and Bukom,0.3077,,
Western Water Catchment,9.2143,1.3664522,103.6810305
Greenwood Park,31.1964,51.4188048,-0.2548216
Midview,37665.5276,1.359286,103.83403591176392
North Coast,4995.0462,41.506534,-81.6939953
Senoko West,22.0824,1.4602965,103.8052452
Woodgrove,20290.6383,1.42913595,103.78125034810185
Woodlands East,38762.4829,1.436897,103.786216
Woodlands Regional Centre,16.787,1.43594395,103.78789946787612
Woodlands South,26015.2284,1.4271409,103.79429763815054
Woodlands West,20578.9538,1.436897,103.786216
Khatib,7154.8234,1.4173597,103.8330179
Lower Seletar,2201.718,1.411265,103.85213585565683
Nee Soon,402.8243,1.4198628,103.83568386013127
Northland,18371.4979,1.43571045,103.84071947342821
Springleaf,1972.8229,1.398315,103.81805726106943
Yishun Central,6003.6664,1.42645065,103.83720383435042
Yishun East,28984.3302,1.4293839,103.8350282
Yishun South,31517.6839,1.4293839,103.8350282
Yishun West,35520.8539,1.4293839,103.8350282
